id,ID,Commanditaire_Collectivite_locale,nbre_marches_CT,type_marche,Commanditaire_adresse,Commanditaire_CP,montant_ou_moyenne,nom_frn,type_frn,lib93_independant,cp_frn,adresse_frn,ville_frn,adresse_cp_command,adresse_cp_frn,lat_long_frn,lat_long_comm,command_variant_address
84,85,SEVRAN,marché 2,services de la collectivité locale sans livres scolaires,5 rue Roger Le Maner,93270,8000,BDnET,LS,non,75011,26 rue de Charonne,PARIS,"5 rue Roger Le Maner, SEVRAN, France","26 rue de Charonne, PARIS, France","48.8528208,2.3757083","48.938629,2.5286685","5 rue Roger Le Maner, 93270, France"
85,86,SEVRAN,marché 2,services de la collectivité locale sans livres scolaires,5 rue Roger Le Maner,93270,1000,chantelivre,LS,non,75006,13 rue de Sèvres,PARIS,"5 rue Roger Le Maner, SEVRAN, France","13 rue de Sèvres, PARIS, France","48.8516847,2.3282686","48.938629,2.5286685","5 rue Roger Le Maner, 93270, France"
86,87,SEVRAN,marché 2,services de la collectivité locale sans livres scolaires,5 rue Roger Le Maner,93270,40000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"5 rue Roger Le Maner, SEVRAN, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.938629,2.5286685","5 rue Roger Le Maner, 93270, France"
87,88,SEVRAN,marché 2,services de la collectivité locale sans livres scolaires,5 rue Roger Le Maner,93270,80000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"5 rue Roger Le Maner, SEVRAN, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.938629,2.5286685","5 rue Roger Le Maner, 93270, France"
88,89,SEVRAN,marché 2,services de la collectivité locale sans livres scolaires,5 rue Roger Le Maner,93270,37500,SFL,GFS,non,93200,4 rue Saint-Christophe,SAINT-DENIS,"5 rue Roger Le Maner, SEVRAN, France","4 rue Saint-Christophe, SAINT-DENIS, France","48.914348,2.3829634","48.938629,2.5286685","5 rue Roger Le Maner, 93270, France"
89,90,STAINS,marché 1,services de la collectivité locale dont livres scolaires,6 avenue Paul Vaillant-Couturier,93240,48000,librairie générale,LGE,oui,93150,52 avenue Henri Barbusse,LE-BLANC-MESNIL,"6 avenue Paul Vaillant-Couturier, STAINS, France","52 avenue Henri Barbusse, LE-BLANC-MESNIL, France","48.9391082,2.4615627","48.9558243,2.3829639","6 avenue Paul Vaillant-Couturier, 93240, France"
90,91,TREMBLAY-EN-FRANCE,marché 1,livres scolaires,18 boulevard de l'Hôtel de Ville,93290,37500,vert galant,LGE,oui,93420,11 avenue de la Gare,VILLEPINTE,"18 boulevard de l'Hôtel de Ville, TREMBLAY-EN-FRANCE, France","11 avenue de la Gare, VILLEPINTE, France","48.94531139999999,2.5652745","48.9516927,2.5708352","18 boulevard de l'Hôtel de Ville, 93290, France"
91,92,TREMBLAY-EN-FRANCE,marché 1,médiathèque,8 rue Pierre Brossolette,93290,2500,album,LS,non,93600,Centre commercial Parinor - Le Haut de Galy,AULNAY-SOUS-BOIS,"8 rue Pierre Brossolette, TREMBLAY-EN-FRANCE, France","Centre commercial Parinor - Le Haut de Galy, AULNAY-SOUS-BOIS, France","48.95833620000001,2.4754686","48.9495705,2.5704397","8 rue Pierre Brossolette, 93290, France"
92,93,TREMBLAY-EN-FRANCE,marché 1,médiathèque,8 rue Pierre Brossolette,93290,3000,biblioteca,X,non,75006,14 rue Serpente,PARIS,"8 rue Pierre Brossolette, TREMBLAY-EN-FRANCE, France","14 rue Serpente, PARIS, France","48.8520214,2.3429838","48.9495705,2.5704397","8 rue Pierre Brossolette, 93290, France"
93,94,TREMBLAY-EN-FRANCE,marché 1,médiathèque,8 rue Pierre Brossolette,93290,8000,chat pitre,LS,non,75013,22 bis rue Duchefdelaville,PARIS,"8 rue Pierre Brossolette, TREMBLAY-EN-FRANCE, France","22 bis rue Duchefdelaville, PARIS, France","48.831439,2.3694316","48.9495705,2.5704397","8 rue Pierre Brossolette, 93290, France"
94,95,TREMBLAY-EN-FRANCE,marché 1,médiathèque,8 rue Pierre Brossolette,93290,14000,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"8 rue Pierre Brossolette, TREMBLAY-EN-FRANCE, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.9495705,2.5704397","8 rue Pierre Brossolette, 93290, France"
95,96,TREMBLAY-EN-FRANCE,marché 1,médiathèque,8 rue Pierre Brossolette,93290,14000,folie aulnay,LGE,oui,93600,41 boulevard de Strasbourg,AULNAY-SOUS-BOIS,"8 rue Pierre Brossolette, TREMBLAY-EN-FRANCE, France","41 boulevard de Strasbourg, AULNAY-SOUS-BOIS, France","48.9280053,2.4910526","48.9495705,2.5704397","8 rue Pierre Brossolette, 93290, France"
96,97,TREMBLAY-EN-FRANCE,marché 1,médiathèque,8 rue Pierre Brossolette,93290,8000,libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"8 rue Pierre Brossolette, TREMBLAY-EN-FRANCE, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.9495705,2.5704397","8 rue Pierre Brossolette, 93290, France"
97,98,TREMBLAY-EN-FRANCE,marché 1,services de la collectivité locale sans livres scolaires,18 boulevard de l'Hôtel de Ville,93290,14000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"18 boulevard de l'Hôtel de Ville, TREMBLAY-EN-FRANCE, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.9516927,2.5708352","18 boulevard de l'Hôtel de Ville, 93290, France"
98,99,TREMBLAY-EN-FRANCE,marché 2,livres scolaires,18 boulevard de l'Hôtel de Ville,93290,45000,bibliotheque pour l'école,GFS,non,87890,Bernardan Cherbois RD912,JOUAC,"18 boulevard de l'Hôtel de Ville, TREMBLAY-EN-FRANCE, France","Bernardan Cherbois RD912, JOUAC, France","46.355508,1.2629999","48.9516927,2.5708352","18 boulevard de l'Hôtel de Ville, 93290, France"
99,100,VILLEMOMBLE,marché 1,médiathèque,118 Grande Rue ,93250,1896,biblioteca,X,non,75006,14 rue Serpente,PARIS,"118 Grande Rue , VILLEMOMBLE, France","14 rue Serpente, PARIS, France","48.8520214,2.3429838","48.8826752,2.5165754","118 Grande Rue , 93250, France"
100,101,VILLEMOMBLE,marché 1,médiathèque,118 Grande Rue ,93250,6635,chantelivre,LS,non,75006,13 rue de Sèvres,PARIS,"118 Grande Rue , VILLEMOMBLE, France","13 rue de Sèvres, PARIS, France","48.8516847,2.3282686","48.8826752,2.5165754","118 Grande Rue , 93250, France"
101,102,VILLEMOMBLE,marché 1,médiathèque,118 Grande Rue ,93250,1500,diff 3000,X,non,37250,28 rue des Partenais,VEIGNE,"118 Grande Rue , VILLEMOMBLE, France","28 rue des Partenais, VEIGNE, France","47.27734299999999,0.741805","48.8826752,2.5165754","118 Grande Rue , 93250, France"
102,103,VILLEMOMBLE,marché 1,médiathèque,118 Grande Rue ,93250,20853,librairie Gulliver,LGE,oui,93250,41 avenue Outrebon,VILLEMOMBLE,"118 Grande Rue , VILLEMOMBLE, France","41 avenue Outrebon, VILLEMOMBLE, France","48.88818759999999,2.5105139","48.8826752,2.5165754","118 Grande Rue , 93250, France"
103,104,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,10000,BDnET,LS,non,75011,26 rue de Charonne,PARIS,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","26 rue de Charonne, PARIS, France","48.8528208,2.3757083","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
104,105,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,6000,chantelivre,LS,non,75006,13 rue de Sèvres,PARIS,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","13 rue de Sèvres, PARIS, France","48.8516847,2.3282686","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
105,106,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,15000,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
106,107,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,8000,Diff 3000,X,non,37250,28 rue des Partenais,VEIGNE,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","28 rue des Partenais, VEIGNE, France","47.27734299999999,0.741805","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
107,108,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,8000,sfl,GFS,non,93200,4 rue Saint-Christophe,SAINT-DENIS,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","4 rue Saint-Christophe, SAINT-DENIS, France","48.914348,2.3829634","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
108,109,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,18000,sfl,GFS,non,93200,4 rue Saint-Christophe,SAINT-DENIS,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","4 rue Saint-Christophe, SAINT-DENIS, France","48.914348,2.3829634","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
109,110,VILLEPINTE,marché 1,médiathèque,Centre culturel Joseph Kessel - 251 boulevard Ballanger ,93420,25000,sfl,GFS,non,93200,4 rue Saint-Christophe,SAINT-DENIS,"Centre culturel Joseph Kessel - 251 boulevard Ballanger , VILLEPINTE, France","4 rue Saint-Christophe, SAINT-DENIS, France","48.914348,2.3829634","48.9600066,2.5514849","Centre culturel Joseph Kessel - 251 boulevard Ballanger , 93420, France"
110,111,VILLEPINTE,marché 1,services de la collectivité locale dont livres scolaires,Place de l'Hôtel de Ville,93420,50000,vert galant,LGE,oui,93420,11 avenue de la Gare,VILLEPINTE,"Place de l'Hôtel de Ville, VILLEPINTE, France","11 avenue de la Gare, VILLEPINTE, France","48.94531139999999,2.5652745","48.9634987,2.5344766","Place de l'Hôtel de Ville, 93420, France"
