id,ID,Commanditaire_Collectivite_locale,nbre_marches_CT,type_marche,Commanditaire_adresse,Commanditaire_CP,montant_ou_moyenne,nom_frn,type_frn,lib93_independant,cp_frn,adresse_frn,ville_frn,adresse_cp_command,adresse_cp_frn,lat_long_frn,lat_long_comm,command_variant_address
30,31,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,4000,biblioteca,X,non,75006,14 rue Serpente,PARIS,"100 avenue Gaston Roussel, EST ENSEMBLE, France","14 rue Serpente, PARIS, France","48.8520214,2.3429838","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
31,32,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,50000,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"100 avenue Gaston Roussel, EST ENSEMBLE, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
32,33,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,60000,compagnie,LGE,non,75005,58 rue des Écoles,PARIS,"100 avenue Gaston Roussel, EST ENSEMBLE, France","58 rue des Écoles, PARIS, France","48.8501637,2.3435595","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
33,34,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,8000,folie d'encre le pré st gervais,LGE,oui,93310,86 rue André Joineau,LE-PRE-SAINT-GERVAIS,"100 avenue Gaston Roussel, EST ENSEMBLE, France","86 rue André Joineau, LE-PRE-SAINT-GERVAIS, France","48.8827013,2.4029586","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
34,35,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,15000,folie d'encre les lilas,LGE,oui,93260,3 rue du Garde-Chasse,LES-LILAS,"100 avenue Gaston Roussel, EST ENSEMBLE, France","3 rue du Garde-Chasse, LES-LILAS, France","48.88054169999999,2.4178258","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
35,36,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,6000,folie d'encre montreuil,LGE,oui,93100,9 avenue de la Résistance,MONTREUIL,"100 avenue Gaston Roussel, EST ENSEMBLE, France","9 avenue de la Résistance, MONTREUIL, France","48.8590063,2.4364888","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
36,37,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,1000,folies d'encre pantin,LGE,oui,93500,81 avenue Jean Lolive,PANTIN,"100 avenue Gaston Roussel, EST ENSEMBLE, France","81 avenue Jean Lolive, PANTIN, France","48.8920384,2.4062587","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
37,38,EST ENSEMBLE,marché 1,médiathèque,100 avenue Gaston Roussel,93230,20000,libr'est et SFL,GFS,non,94200 et 93100 ,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"100 avenue Gaston Roussel, EST ENSEMBLE, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.8942268,2.4327249","100 avenue Gaston Roussel, 93230, France"
38,39,LA-COURNEUVE,marché 1,"non scolaires ""livres de récompense""",Avenue de la République,93120,35000,ludic,GFS,non,13120,65 rue des Bauxites ,SAINT-RÉMY-DE-PROVENCE,"Avenue de la République, LA-COURNEUVE, France","65 rue des Bauxites , SAINT-RÉMY-DE-PROVENCE, France","43.7965203,4.779325099999999","48.9284,2.390842","Avenue de la République, 93120, France"
39,40,LE-BLANC-MESNIL,marché 1,médiathèque,1-5 place de la Libération,93150,120000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"1-5 place de la Libération, LE-BLANC-MESNIL, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.9839936,2.4287363","1-5 place de la Libération, 93150, France"
40,41,LE-BLANC-MESNIL,marché 1,"non scolaires ""livres de récompense""",1 Place Gabriel Péri,93150,70000,librairie générale,LGE,oui,93150,52 avenue Henri Barbusse,LE-BLANC-MESNIL,"1 Place Gabriel Péri, LE-BLANC-MESNIL, France","52 avenue Henri Barbusse, LE-BLANC-MESNIL, France","48.9391082,2.4615627","48.9388928,2.4625142","1 Place Gabriel Péri, 93150, France"
41,42,LE-BLANC-MESNIL,marché 1,services de la collectivité locale sans livres scolaires,1 Place Gabriel Péri,93150,17000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"1 Place Gabriel Péri, LE-BLANC-MESNIL, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.9388928,2.4625142","1 Place Gabriel Péri, 93150, France"
